Epoch,Training Accuracy,Training Loss
1,81.0,0.6036955366035303
2,83.0,0.39096087850630284
3,88.0,0.34596611189345516
4,89.0,0.3203254486620426
5,94.0,0.29863892247279483
6,88.0,0.2818206087127328
7,92.0,0.26968324422836304
8,93.0,0.2599134786427021
9,88.0,0.24856942847371102
10,92.0,0.2415869619573156
11,92.0,0.23053982445349297
12,92.0,0.22618436607221762
13,92.0,0.2183395189791918
14,92.0,0.2100693194195628
15,96.0,0.2059694867581129
16,93.0,0.19950574234128
17,93.0,0.19577331218868493
18,92.0,0.19169167856375377
19,96.0,0.18590885868296028
20,92.0,0.1808582649876674
21,91.0,0.1763930248344938
22,95.0,0.17391975403452914
23,94.0,0.16826550704116622
24,95.0,0.16513888098299503
25,92.0,0.15973533182715377
26,94.0,0.1564805558261772
27,96.0,0.15307569249222677
28,94.0,0.14958955398450294
29,94.0,0.14842363307873407
30,94.0,0.14416504334037503
31,93.0,0.14134300973887245
32,96.0,0.13821481871729097
33,97.0,0.1356353200847904
34,97.0,0.13074830952410896
35,95.0,0.12983972286805512
36,98.0,0.12843644112038116
37,93.0,0.12598299017176032
38,92.0,0.12205133840752144
39,97.0,0.11999873844906687
40,95.0,0.11806265498511494
41,97.0,0.11502177322283387
42,97.0,0.11349847914030155
43,96.0,0.11196553323107461
44,95.0,0.10889422653553386
45,95.0,0.10908228818327188
46,96.0,0.1061827891630431
47,94.0,0.10105272100307047
48,96.0,0.10099762844232221
49,96.0,0.09936378229719897
50,97.0,0.0967322892571489
51,98.0,0.09657066514715552
52,96.0,0.09552818160504102
53,91.0,0.09282216222335894
54,97.0,0.0911284547423323
55,97.0,0.09108900051874419
56,98.0,0.0868719622741143
57,97.0,0.08672998182941229
58,98.0,0.08484340899934371
59,98.0,0.0851316717453301
60,97.0,0.08167720660722504
61,97.0,0.08144393660283337
62,96.0,0.07979943665210158
63,98.0,0.0784680899977684
64,94.0,0.07964366717574498
65,95.0,0.07817620979622006
66,96.0,0.07625516860901067
67,95.0,0.07402720963427176
68,98.0,0.07264069180935621
69,96.0,0.07192452493589371
70,97.0,0.07300334861812492
71,96.0,0.07032798438022535
72,97.0,0.07037586441108336
73,98.0,0.0703805715451017
74,99.0,0.06845979872314881
75,97.0,0.06849073244258762
76,97.0,0.06664632224012167
77,96.0,0.06794734774312626
78,96.0,0.06518447906244546
79,97.0,0.06505655906784037
80,98.0,0.06630106862013539
81,93.0,0.06333448724200329
82,99.0,0.06317321333723763
83,96.0,0.062188236069244646
84,97.0,0.05926671765279025
85,100.0,0.06029998388451834
86,95.0,0.059551936173811555
87,96.0,0.060015276269987226
88,97.0,0.05990352722195288
89,96.0,0.05772935123803715
90,100.0,0.05933126026919733
91,99.0,0.05724509507107238
92,100.0,0.05506969516747631
93,100.0,0.05564505786324541
94,98.0,0.054944143048487604
95,99.0,0.05421163751278073
96,98.0,0.055061661431876324
97,96.0,0.053585982910202196
98,95.0,0.053561065897811205
99,99.0,0.05244079647042478
100,95.0,0.052375584674688676
101,98.0,0.05154295673593879
102,96.0,0.05184176076591636
103,99.0,0.05054560617233316
104,100.0,0.05097704898022736
105,98.0,0.052007749964638306
106,100.0,0.04816683507757261
107,99.0,0.05027211095051219
108,98.0,0.048611931497386345
109,98.0,0.04944753431792681
110,99.0,0.048448052358968804
111,95.0,0.048186997627684226
112,98.0,0.046411305699342244
113,97.0,0.04659092946366097
114,97.0,0.04808778834645636
115,95.0,0.04594571419293061
116,98.0,0.046146884048939685
117,97.0,0.04604544123809319
118,100.0,0.04562824290439797
119,98.0,0.04435240626645585
120,98.0,0.04606003725746026
121,100.0,0.04344387790576244
122,99.0,0.04248394463056077
123,99.0,0.042593062378000465
124,99.0,0.045136033292704575
125,99.0,0.04414095624272401
126,100.0,0.04078695114896012
127,100.0,0.04188539544547287
128,97.0,0.042001362634279456
129,100.0,0.0431468335154932
130,98.0,0.040653193504161515
131,99.0,0.042149510653301456
132,97.0,0.040959810945981494
133,99.0,0.03958042822351369
134,100.0,0.04065613752036976
135,98.0,0.039920036622400706
136,99.0,0.04050972656928934
137,98.0,0.04015739823342301
138,100.0,0.040772260677767916
139,99.0,0.03907641519132691
140,100.0,0.03962924277720352
141,99.0,0.03808054855811254
142,99.0,0.03949876957184945
143,99.0,0.03947199738584459
144,97.0,0.03897585205268115
145,100.0,0.038298959284632776
146,96.0,0.038577568692077575
147,99.0,0.037298490022076296
148,99.0,0.03969517797542115
149,99.0,0.03695054071373306
